강의번호,강의명,교수명,시간/장소,학점,교양구분,정원,비고,분류
44684-01,글로벌헬스,심미소,성서 월10:30~12:20(N218),2,균형교양,80,간호대 2년 및 수강희망자,과학과기술
22434-51,컴퓨터활용,김젬마,성서 월18:0019:35 목18:0018:45(의125),3,균형교양,40,수강희망자,과학과기술
43471-01,영화로보는나노기술과나노융합산업,배재영,성서 화10:3011:45 목16:3017:45(백315),3,균형교양,85,수강희망자,과학과기술
44654-01,AI와비주얼콘텐츠실습,"Nam, Kristen Ko-Eun",성서 월16:3017:45 목10:3011:45(사257),3,균형교양,40,수강희망자,과학과기술
40051-11,빅데이터이해와감성적분석의활용,이유진,대명 화10:3011:45 목16:3017:45(수207),3,균형교양,40,수강희망자,과학과기술
39004-01,4차산업혁명기술이해,이주화,성서 화10:3011:45 목16:3017:45(오108),3,균형교양,100,수강희망자,과학과기술
40033-01,영화로보는도시건축,문근종,성서 수10:3011:45 금13:3014:45(오108),3,균형교양,150,수강희망자,과학과기술
22377-02,환경과인간,최성우,성서 월13:3014:45 수09:0010:15(사230),3,균형교양,100,수강희망자,과학과기술
42765-02,일반생물및화학(간호학),성호현,성서 수10:3011:45 금13:3014:45(N101),3,균형교양,80,간호대 1년(타과생수강불가),과학과기술
42276-01,첨단산업미래기술의이해,박현호,성서 월13:3014:45 수09:0010:15(백201),3,균형교양,100,수강희망자,과학과기술
38461-01,도시환경과조경,정해준,성서 월13:3014:45 수09:0010:15(사132),3,균형교양,100,수강희망자,과학과기술
32888-01,자연속의과학세상,정대원,성서 월13:3014:45 수09:0010:15(백101),3,균형교양,100,수강희망자,과학과기술
42829-01,융합사회와미래예측,권오성,성서 월10:3011:45 목13:3014:45(백101),3,균형교양,100,수강희망자,과학과기술
38493-01,인성의과학적이해,김승원,성서 화10:3011:45 목16:3017:45(백B01),3,균형교양,100,수강희망자,과학과기술
25920-01,조리와식품,고봉경,성서 원격수업(1영역),3,균형교양,250,원격수업 수강희망자(http://ctl.kmu.ac.kr),과학과기술
40048-01,대중매체와식생활정보,정윤정,성서 화10:3011:45 목16:3017:45(백102),3,균형교양,80,수강희망자,과학과기술
22377-51,환경과인간,권혁준,성서 수19:4020:25 금18:0019:35(사230),3,균형교양,100,수강희망자,과학과기술
22377-03,환경과인간,이상훈,성서 월13:3014:45 수09:0010:15(백301),3,균형교양,100,수강희망자,과학과기술
40051-01,빅데이터이해와감성적분석의활용,김효정,성서 화10:3011:45 목16:3017:45(스201),3,균형교양,40,수강희망자,과학과기술
38455-02,기후변화와미래사회,김해동,성서 화10:3011:45 목16:3017:45(사132),3,균형교양,100,수강희망자,과학과기술
43479-01,생각하는기계인공지능,이종하,성서 원격수업(6영역),3,균형교양,250,원격수업 수강희망자(http://ctl.kmu.ac.kr),과학과기술
27793-01,현대건축명작의이해,권지훈,성서 원격수업(4영역),3,균형교양,250,원격수업 수강희망자(http://ctl.kmu.ac.kr),과학과기술
38457-01,글로벌식품문화와과학,양선아,성서 화10:3011:45 목16:3017:45(백201),3,균형교양,100,수강희망자,과학과기술
42827-01,인간과세상을연결하는실감미디어,이중호,성서 월13:3014:45 수09:0010:15(사222),3,균형교양,100,수강희망자,과학과기술
40034-01,세계도시건축의이해,이성근,성서 화12:0013:15 금10:3011:45(사135),3,균형교양,100,수강희망자,과학과기술
22434-05,컴퓨터활용,이명숙,성서 화12:0013:15 금10:3011:45(의125),3,균형교양,40,수강희망자,과학과기술
22434-06,컴퓨터활용,이명숙,성서 화13:3014:45 금09:0010:15(의125),3,균형교양,40,수강희망자,과학과기술
22434-01,컴퓨터활용,이명숙,성서 월10:3011:45 목13:3014:45(스201),3,균형교양,40,수강희망자,과학과기술
32885-01,생활과화학,박영태,성서 월15:0016:15 목09:0010:15(백102),3,균형교양,100,수강희망자,과학과기술
22434-04,컴퓨터활용,김효정,성서 월10:3011:45 목13:3014:45(의125),3,균형교양,40,수강희망자,과학과기술
22434-08,컴퓨터활용,김효정,성서 화12:0013:15 금10:3011:45(스201),3,균형교양,40,수강희망자,과학과기술
